availability,date,listing_id,rate
False,2016-05-29,8521491,98.0
True,2016-05-30,8521491,98.0
True,2016-05-31,8521491,98.0
False,2016-06-01,8521491,98.0
True,2016-06-02,8521491,98.0
False,2016-06-03,8521491,98.0
False,2016-06-04,8521491,98.0
True,2016-06-05,8521491,98.0
True,2016-06-06,8521491,98.0
True,2016-06-07,8521491,98.0
False,2016-06-08,8521491,98.0
False,2016-06-09,8521491,98.0
False,2016-06-10,8521491,98.0
False,2016-06-11,8521491,98.0
False,2016-06-12,8521491,98.0
True,2016-06-13,8521491,98.0
False,2016-06-14,8521491,98.0
True,2016-06-15,8521491,98.0
False,2016-06-16,8521491,98.0
False,2016-06-17,8521491,98.0
False,2016-06-18,8521491,98.0
False,2016-06-19,8521491,98.0
True,2016-06-20,8521491,98.0
False,2016-06-21,8521491,98.0
False,2016-06-22,8521491,98.0
True,2016-06-23,8521491,98.0
False,2016-06-24,8521491,98.0
False,2016-06-25,8521491,98.0
True,2016-06-26,8521491,98.0
True,2016-06-27,8521491,98.0
False,2016-06-28,8521491,98.0
False,2016-06-29,8521491,98.0
True,2016-06-30,8521491,98.0
False,2016-07-01,8521491,98.0
False,2016-07-02,8521491,98.0
False,2016-07-03,8521491,98.0
True,2016-07-04,8521491,98.0
True,2016-07-05,8521491,98.0
True,2016-07-06,8521491,98.0
True,2016-07-07,8521491,98.0
False,2016-07-08,8521491,98.0
False,2016-07-09,8521491,98.0
False,2016-07-10,8521491,98.0
False,2016-07-11,8521491,98.0
False,2016-07-12,8521491,98.0
False,2016-07-13,8521491,98.0
False,2016-07-14,8521491,98.0
False,2016-07-15,8521491,98.0
True,2016-07-16,8521491,500.0
False,2016-07-17,8521491,500.0
False,2016-07-18,8521491,500.0
False,2016-07-19,8521491,500.0
False,2016-07-20,8521491,500.0
False,2016-07-21,8521491,500.0
True,2016-07-22,8521491,500.0
True,2016-07-23,8521491,98.0
True,2016-07-24,8521491,98.0
True,2016-07-25,8521491,98.0
False,2016-07-26,8521491,98.0
False,2016-07-27,8521491,98.0
True,2016-07-28,8521491,98.0
True,2016-07-29,8521491,98.0
False,2016-07-30,8521491,98.0
False,2016-07-31,8521491,98.0
False,2016-08-01,8521491,98.0
True,2016-08-02,8521491,98.0
True,2016-08-03,8521491,98.0
True,2016-08-04,8521491,98.0
True,2016-08-05,8521491,98.0
True,2016-08-06,8521491,98.0
True,2016-08-07,8521491,98.0
True,2016-08-08,8521491,98.0
True,2016-08-09,8521491,98.0
True,2016-08-10,8521491,98.0
True,2016-08-11,8521491,98.0
True,2016-08-12,8521491,98.0
False,2016-08-13,8521491,98.0
True,2016-08-14,8521491,98.0
True,2016-08-15,8521491,98.0
True,2016-08-16,8521491,98.0
True,2016-08-17,8521491,98.0
True,2016-08-18,8521491,98.0
False,2016-08-19,8521491,98.0
False,2016-08-20,8521491,98.0
True,2016-08-21,8521491,98.0
True,2016-08-22,8521491,98.0
True,2016-08-23,8521491,98.0
True,2016-08-24,8521491,98.0
True,2016-08-25,8521491,98.0
True,2016-08-26,8521491,98.0
True,2016-08-27,8521491,98.0
True,2016-08-28,8521491,98.0
True,2016-08-29,8521491,98.0
True,2016-08-30,8521491,98.0
True,2016-08-31,8521491,98.0
True,2016-09-01,8521491,98.0
True,2016-09-02,8521491,98.0
True,2016-09-03,8521491,98.0
True,2016-05-29,2116800,350.0
True,2016-05-30,2116800,350.0
True,2016-05-31,2116800,350.0
True,2016-06-01,2116800,350.0
True,2016-06-02,2116800,350.0
True,2016-06-03,2116800,350.0
True,2016-06-04,2116800,350.0
True,2016-06-05,2116800,350.0
True,2016-06-06,2116800,350.0
True,2016-06-07,2116800,350.0
True,2016-06-08,2116800,350.0
True,2016-06-09,2116800,350.0
True,2016-06-10,2116800,350.0
True,2016-06-11,2116800,350.0
True,2016-06-12,2116800,350.0
True,2016-06-13,2116800,350.0
True,2016-06-14,2116800,350.0
True,2016-06-15,2116800,350.0
True,2016-06-16,2116800,350.0
True,2016-06-17,2116800,350.0
True,2016-06-18,2116800,350.0
True,2016-06-19,2116800,350.0
True,2016-06-20,2116800,350.0
True,2016-06-21,2116800,350.0
True,2016-06-22,2116800,350.0
True,2016-06-23,2116800,350.0
True,2016-06-24,2116800,350.0
True,2016-06-25,2116800,350.0
True,2016-06-26,2116800,350.0
True,2016-06-27,2116800,350.0
True,2016-06-28,2116800,350.0
True,2016-06-29,2116800,350.0
True,2016-06-30,2116800,350.0
True,2016-07-01,2116800,350.0
True,2016-07-02,2116800,350.0
True,2016-07-03,2116800,350.0
True,2016-07-04,2116800,350.0
True,2016-07-05,2116800,350.0
True,2016-07-06,2116800,350.0
True,2016-07-07,2116800,350.0
False,2016-07-08,2116800,350.0
False,2016-07-09,2116800,350.0
False,2016-07-10,2116800,350.0
False,2016-07-11,2116800,350.0
False,2016-07-12,2116800,350.0
False,2016-07-13,2116800,350.0
False,2016-07-14,2116800,350.0
False,2016-07-15,2116800,350.0
True,2016-07-16,2116800,350.0
True,2016-07-17,2116800,350.0
True,2016-07-18,2116800,350.0
True,2016-07-19,2116800,350.0
True,2016-07-20,2116800,350.0
True,2016-07-21,2116800,350.0
True,2016-07-22,2116800,350.0
True,2016-07-23,2116800,350.0
True,2016-07-24,2116800,350.0
True,2016-07-25,2116800,350.0
False,2016-07-26,2116800,350.0
False,2016-07-27,2116800,350.0
False,2016-07-28,2116800,350.0
False,2016-07-29,2116800,350.0
False,2016-07-30,2116800,350.0
False,2016-07-31,2116800,350.0
False,2016-08-01,2116800,350.0
False,2016-08-02,2116800,350.0
False,2016-08-03,2116800,350.0
False,2016-08-04,2116800,350.0
False,2016-08-05,2116800,350.0
False,2016-08-06,2116800,350.0
False,2016-08-07,2116800,350.0
False,2016-08-08,2116800,350.0
False,2016-08-09,2116800,350.0
True,2016-08-10,2116800,350.0
False,2016-08-11,2116800,350.0
False,2016-08-12,2116800,350.0
False,2016-08-13,2116800,350.0
False,2016-08-14,2116800,350.0
False,2016-08-15,2116800,350.0
False,2016-08-16,2116800,350.0
False,2016-08-17,2116800,350.0
False,2016-08-18,2116800,350.0
False,2016-08-19,2116800,350.0
False,2016-08-20,2116800,350.0
False,2016-08-21,2116800,350.0
False,2016-08-22,2116800,350.0
False,2016-08-23,2116800,350.0
False,2016-08-24,2116800,350.0
